Sample	Size	Max Value	Total sum	M	Exact?	Algorithm	epsilon	Value	Value / M	t	t stdv
1	10	40	221	65	U	G	-	54.0	0.8307692307692308	4.3888600000000005e-05	2.3717548642302813e-05
2	10	40	221	65	U	S	0.5	64.0	0.9846153846153847	0.0006940365	0.0002240922363543141
3	10	40	221	65	U	S	1	64.0	0.9846153846153847	0.0005421702000000001	0.00016854720600921014
4	10	40	221	65	U	S	2	64.0	0.9846153846153847	0.0003727343	0.00011106080713139886
5	10	40	221	65	U	R	-	65.0	1.0	0.0010243672	0.0002476690401675411
6	10	40	221	130	E	G	-	123.0	0.9461538461538461	9.3883e-06	6.5909724632341706e-06
7	10	40	221	130	E	S	0.5	129.0	0.9923076923076923	0.0011248206	0.0003615799307638016
8	10	40	221	130	E	S	1	122.0	0.9384615384615385	0.0008049895000000002	0.0002409390949616613
9	10	40	221	130	E	S	2	130.0	1.0	0.000545525	0.00015028070289812846
10	10	40	221	130	E	R	-	130.0	1.0	0.0008879703999999999	0.0003183992572594631
11	10	40	221	260	U	G	-	221.0	0.85	1.5721600000000002e-05	1.2564975078013927e-05
12	10	40	221	260	U	S	0.5	218.0	0.8384615384615385	0.0011369784	0.00043561607345133117
13	10	40	221	260	U	S	1	218.0	0.8384615384615385	0.000767878	0.00027543332349751887
14	10	40	221	260	U	S	2	218.0	0.8384615384615385	0.0005070679	0.00013549261275512813
15	10	40	221	260	U	R	-	221.0	0.85	0.0005922782000000001	0.00018533619849811674
16	10	37	184	52	U	G	-	41.0	0.7884615384615384	1.01573e-05	9.167947680794091e-06
17	10	37	184	52	U	S	0.5	50.0	0.9615384615384616	0.0006847204	0.00023953489451768815
18	10	37	184	52	U	S	1	50.0	0.9615384615384616	0.0005329664	0.00016173186688755352
19	10	37	184	52	U	S	2	47.0	0.9038461538461539	0.0004131055	0.0001225868936326392
20	10	37	184	52	U	R	-	52.0	1.0	0.0008079265	0.000257419392145386
21	10	37	184	105	E	G	-	87.0	0.8285714285714286	1.26161e-05	1.0354570686416698e-05
22	10	37	184	105	E	S	0.5	102.0	0.9714285714285714	0.0010583825	0.0003768865322870915
23	10	37	184	105	E	S	1	102.0	0.9714285714285714	0.0007194436	0.00024689502121401043
24	10	37	184	105	E	S	2	92.0	0.8761904761904762	0.0004912612000000001	0.0001507148474996556
25	10	37	184	105	E	R	-	105.0	1.0	0.0007863303999999999	0.00028127308370660395
26	10	37	184	210	U	G	-	184.0	0.8761904761904762	9.2722e-06	8.003828692153108e-06
27	10	37	184	210	U	S	0.5	183.0	0.8714285714285714	0.0010395883	0.0003642925475817021
28	10	37	184	210	U	S	1	183.0	0.8714285714285714	0.0007290011000000001	0.0002629455919710176
29	10	37	184	210	U	S	2	183.0	0.8714285714285714	0.0005107467	0.00016422811826984914
30	10	37	184	210	U	R	-	184.0	0.8761904761904762	0.0005665875999999999	0.00020290726303478316
31	100	397	20048	5336	U	G	-	5279.0	0.9893178410794603	2.8939999999999994e-05	1.2554486873889616e-05
32	100	397	20048	5336	U	S	0.5	5325.0	0.9979385307346327	0.28487870300000007	0.07397694962702066
33	100	397	20048	5336	U	S	1	5313.0	0.9956896551724138	0.17846761780000003	0.049407003325310464
34	100	397	20048	5336	U	S	2	5302.0	0.9936281859070465	0.1086967249	0.03460558644233874
35	100	397	20048	5336	U	R	-	5336.0	1.0	0.0193943517	0.0075483947805460834
36	100	397	20048	10672	E	G	-	10653.0	0.99821964017991	4.0828500000000004e-05	1.969352131060139e-05
37	100	397	20048	10672	E	S	0.5	10670.0	0.9998125937031485	0.3144733658	0.08104968385150749
38	100	397	20048	10672	E	S	1	10655.0	0.9984070464767616	0.1911550074	0.051473605142049766
39	100	397	20048	10672	E	S	2	10602.0	0.993440779610195	0.1170083377	0.03741127886680748
40	100	397	20048	10672	E	R	-	10672.0	1.0	0.022474434300000002	0.008952839026221893
41	100	397	20048	21344	U	G	-	20048.0	0.93928035982009	4.02066e-05	2.2204828705086246e-05
42	100	397	20048	21344	U	S	0.5	19986.0	0.9363755622188905	0.3244178702	0.0842057948542759
43	100	397	20048	21344	U	S	1	19910.0	0.9328148425787106	0.2001474748	0.05758791086039932
44	100	397	20048	21344	U	S	2	19784.0	0.926911544227886	0.1196537491	0.03792778522387012
45	100	397	20048	21344	U	R	-	20048.0	0.93928035982009	0.00393386	0.0013443584301686645
46	100	400	20167	5212	U	G	-	5201.0	0.9978894858019954	3.5403699999999994e-05	1.1717257169093229e-05
47	100	400	20167	5212	U	S	0.5	5205.0	0.9986569455103607	0.28354552580000003	0.07309771079919843
48	100	400	20167	5212	U	S	1	5204.0	0.9984650805832693	0.1799229517	0.050253058312485874
49	100	400	20167	5212	U	S	2	5194.0	0.9965464313123561	0.11429613699999999	0.03802764576204302
50	100	400	20167	5212	U	R	-	5212.0	1.0	0.0197229594	0.007956782749780818
51	100	400	20167	10424	E	G	-	10338.0	0.991749808135073	3.75238e-05	1.910862324711019e-05
52	100	400	20167	10424	E	S	0.5	10422.0	0.9998081350729087	0.3156575813	0.08279922909019762
53	100	400	20167	10424	E	S	1	10421.0	0.999712202609363	0.19566775990000002	0.055333464968528055
54	100	400	20167	10424	E	S	2	10420.0	0.9996162701458173	0.1194815503	0.036929995441181446
55	100	400	20167	10424	E	R	-	10424.0	1.0	0.022465287200000003	0.008703666183349647
56	100	400	20167	20848	U	G	-	20167.0	0.9673349961627015	3.430030000000001e-05	1.5255237476209787e-05
57	100	400	20167	20848	U	S	0.5	20093.0	0.9637854950115119	0.32402293050000003	0.08321208154413745
58	100	400	20167	20848	U	S	1	20132.0	0.9656561780506523	0.1998331822	0.05623641053215269
59	100	400	20167	20848	U	S	2	19880.0	0.9535686876438987	0.120694253	0.03500671900487265
60	100	400	20167	20848	U	R	-	20167.0	0.9673349961627015	0.0039964573	0.001446606877317788
61	1000	3997	1980240	476969	U	G	-	475504.0	0.9969285215601014	0.00025462200000000003	8.369892438310596e-05
