Sample	Size	Max Value	Total sum	M	Exact?	Algorithm	epsilon	Value	Value / M	t	t stdv
1	10	40	199	41	U	G	-	40.0	0.975609756097561	2.13192e-05	7.4191420558205e-06
2	10	40	199	41	U	S	0.5	40.0	0.975609756097561	0.0010957023	0.0004216003631347398
2	10	40	199	41	U	S	1	41.0	1.0	0.0006760971000000001	0.00018489895062405784
2	10	40	199	41	U	S	2	38.0	0.926829268292683	0.0005649203999999999	0.00015285420599614233
3	10	40	199	83	E	G	-	64.0	0.7710843373493976	1.5047199999999999e-05	1.0371454765632232e-05
4	10	40	199	83	E	S	0.5	80.0	0.963855421686747	0.001124098	0.0003941684362274584
4	10	40	199	83	E	S	1	81.0	0.9759036144578314	0.0008598385999999999	0.0002579769345534596
4	10	40	199	83	E	S	2	82.0	0.9879518072289156	0.0006399695	0.00016411102683735516
5	10	40	199	166	U	G	-	159.0	0.9578313253012049	1.129e-05	8.085526039370188e-06
6	10	40	199	166	U	S	0.5	163.0	0.9819277108433735	0.0012150777000000002	0.00044212145621161364
6	10	40	199	166	U	S	1	163.0	0.9819277108433735	0.0008890412	0.00028811909276578283
6	10	40	199	166	U	S	2	151.0	0.9096385542168675	0.0006433298	0.00023218759418519998
7	10	37	208	48	U	G	-	48.0	1.0	7.026999999999999e-06	1.2535265808465686e-06
8	10	37	208	48	U	S	0.5	48.0	1.0	0.0007992495000000001	0.0002583975325124062
8	10	37	208	48	U	S	1	46.0	0.9583333333333334	0.0006368702	0.0001762857239072725
8	10	37	208	48	U	S	2	48.0	1.0	0.0004635679	0.00011823317078031305
9	10	37	208	97	E	G	-	88.0	0.9072164948453608	8.0363e-06	1.2287342222339577e-06
10	10	37	208	97	E	S	0.5	94.0	0.9690721649484536	0.0013955129	0.0003150472071570122
10	10	37	208	97	E	S	1	97.0	1.0	0.0009208054	0.00020054540201449534
10	10	37	208	97	E	S	2	90.0	0.9278350515463918	0.0006608581999999999	0.00013984494763590456
11	10	37	208	194	U	G	-	171.0	0.8814432989690721	6.5997e-06	1.5069919302298133e-06
12	10	37	208	194	U	S	0.5	192.0	0.9896907216494846	0.0014164986999999998	0.00033804613619052717
12	10	37	208	194	U	S	1	189.0	0.9742268041237113	0.0009763044	0.00020941039796384942
12	10	37	208	194	U	S	2	168.0	0.865979381443299	0.0006623495	0.00012959261258887835
13	100	400	19133	4725	U	G	-	4702.0	0.9951322751322751	3.55281e-05	1.4347439496300376e-05
14	100	400	19133	4725	U	S	0.5	4721.0	0.9991534391534391	0.31766226099999995	0.0718139740466364
14	100	400	19133	4725	U	S	1	4709.0	0.9966137566137566	0.194964929	0.05363123215501648
14	100	400	19133	4725	U	S	2	4717.0	0.9983068783068783	0.11938292499999999	0.0366830542019183
15	100	400	19133	9451	E	G	-	9413.0	0.9959792614538144	3.616499999999999e-05	1.501942618374247e-05
16	100	400	19133	9451	E	S	0.5	9424.0	0.997143159454026	0.3561791713	0.08239943048870924
16	100	400	19133	9451	E	S	1	9434.0	0.9982012485451275	0.22546296289999995	0.053321921927757865
16	100	400	19133	9451	E	S	2	9406.0	0.9952385990900434	0.1321857877	0.03556338883806381
17	100	400	19133	18902	U	G	-	18733.0	0.9910591471801926	4.05278e-05	1.6414475412472575e-05
18	100	400	19133	18902	U	S	0.5	18842.0	0.9968257327266956	0.3571898717	0.09198343308513218
18	100	400	19133	18902	U	S	1	18791.0	0.9941276055443868	0.22151899999999997	0.05705800125567852
18	100	400	19133	18902	U	S	2	18882.0	0.9989419109088985	0.1314603587	0.04029761320793013
19	100	400	21419	5659	U	G	-	5648.0	0.998056193673794	4.32605e-05	2.1412216166634097e-05
20	100	400	21419	5659	U	S	0.5	5656.0	0.9994698710019438	0.3401744926	0.07541593147591552
20	100	400	21419	5659	U	S	1	5631.0	0.9950521293514756	0.2028714094	0.05812556047302783
20	100	400	21419	5659	U	S	2	5611.0	0.9915179360311009	0.1298120562	0.03648204478158513
21	100	400	21419	11318	E	G	-	11101.0	0.9808270012369676	4.20265e-05	2.0202976927230854e-05
22	100	400	21419	11318	E	S	0.5	11314.0	0.9996465806679625	0.3626165963	0.08494386364327705
22	100	400	21419	11318	E	S	1	11292.0	0.9977027743417565	0.2187253739	0.06094058999902549
22	100	400	21419	11318	E	S	2	11238.0	0.9929316133592507	0.1275040738	0.03676912873119584
23	100	400	21419	22636	U	G	-	21419.0	0.946236084113801	3.11307e-05	1.1348832901815646e-05
24	100	400	21419	22636	U	S	0.5	21338.0	0.9426577133769217	0.3669803826	0.09333347419093647
24	100	400	21419	22636	U	S	1	21208.0	0.936914649231313	0.2226848989	0.060214948785647114
24	100	400	21419	22636	U	S	2	21228.0	0.9377981975614066	0.1311910171	0.03933048789193629
