Sample	Size	Max Value	Total sum	M	Exact?	Algorithm	epsilon	Value	Value / M	t	t stdv
1	10	37	190	44	U	G	-	37.0	0.8409090909090909	4.16134e-05	1.9974073324075777e-05
2	10	37	190	44	U	S	0.5	44.0	1.0	0.0007898780999999999	0.00024917276432737275
3	10	37	190	44	U	S	1	43.0	0.9772727272727273	0.0006191604	0.00017306817670065426
4	10	37	190	44	U	S	2	43.0	0.9772727272727273	0.0005292312000000001	0.0001238620390782512
5	10	37	190	89	E	G	-	66.0	0.7415730337078652	1.3943099999999997e-05	9.906309027303985e-06
6	10	37	190	89	E	S	0.5	89.0	1.0	0.0011275598	0.00037685268092033585
7	10	37	190	89	E	S	1	86.0	0.9662921348314607	0.0008275475	0.00019766001825651707
8	10	37	190	89	E	S	2	85.0	0.9550561797752809	0.000607288	0.00015914914807116552
9	10	37	190	178	U	G	-	153.0	0.8595505617977528	1.11113e-05	7.570353258306745e-06
10	10	37	190	178	U	S	0.5	173.0	0.9719101123595506	0.0012369498	0.00039564519180526164
11	10	37	190	178	U	S	1	176.0	0.9887640449438202	0.0008859994999999999	0.0002468674049774044
12	10	37	190	178	U	S	2	176.0	0.9887640449438202	0.0006863129	0.00022632869344652506
13	10	40	209	66	U	G	-	49.0	0.7424242424242424	1.3442100000000001e-05	9.543853699283815e-06
14	10	40	209	66	U	S	0.5	66.0	1.0	0.0010968095	0.0003365006082039245
15	10	40	209	66	U	S	1	66.0	1.0	0.0007776918999999999	0.0002246753025157515
16	10	40	209	66	U	S	2	59.0	0.8939393939393939	0.0005248064	0.00016254839721155186
17	10	40	209	133	E	G	-	132.0	0.9924812030075187	9.846999999999999e-06	6.907202167142481e-06
18	10	40	209	133	E	S	0.5	130.0	0.9774436090225563	0.0012664515999999998	0.0004321464551296881
19	10	40	209	133	E	S	1	127.0	0.9548872180451128	0.0008947849999999998	0.00023435957965106145
20	10	40	209	133	E	S	2	125.0	0.9398496240601504	0.0005689961	0.00015226397135928118
21	10	40	209	266	U	G	-	209.0	0.7857142857142857	1.0380099999999999e-05	8.433710748471807e-06
22	10	40	209	266	U	S	0.5	208.0	0.7819548872180451	0.0012665108	0.0004316264308887181
23	10	40	209	266	U	S	1	208.0	0.7819548872180451	0.0008764587999999998	0.0002314040741491913
24	10	40	209	266	U	S	2	208.0	0.7819548872180451	0.0005843519	0.00017416244840534495
25	100	400	19839	4936	U	G	-	4839.0	0.9803484602917342	3.82675e-05	1.4188275153567235e-05
26	100	400	19839	4936	U	S	0.5	4926.0	0.9979740680713128	0.2754985564	0.06722508642142404
27	100	400	19839	4936	U	S	1	4935.0	0.9997974068071313	0.17531093080000001	0.05115257699220441
28	100	400	19839	4936	U	S	2	4914.0	0.9955429497568882	0.10879904509999998	0.036751746299617694
29	100	400	19839	9872	E	G	-	9717.0	0.9842990275526742	2.30301e-05	6.426413263503471e-06
30	100	400	19839	9872	E	S	0.5	9857.0	0.9984805510534847	0.30805973689999994	0.08300293765896435
31	100	400	19839	9872	E	S	1	9832.0	0.9959481361426256	0.18879996040000002	0.05293059657027061
32	100	400	19839	9872	E	S	2	9799.0	0.9926053484602917	0.1158751101	0.038393585132293184
33	100	400	19839	19744	U	G	-	19439.0	0.9845522690437601	3.1434000000000004e-05	1.3239187932464404e-05
34	100	400	19839	19744	U	S	0.5	19712.0	0.9983792544570502	0.3206313745	0.08626665896634257
35	100	400	19839	19744	U	S	1	19679.0	0.9967078606158833	0.1998801194	0.05761063963007819
36	100	400	19839	19744	U	S	2	19634.0	0.9944286871961102	0.11740366930000001	0.037466705071634666
37	100	400	20747	5412	U	G	-	5282.0	0.9759793052475979	2.27155e-05	9.389732610676408e-06
38	100	400	20747	5412	U	S	0.5	5403.0	0.9983370288248337	0.290106267	0.07848669831288531
39	100	400	20747	5412	U	S	1	5405.0	0.9987065779748706	0.1784338405	0.04900378916318999
40	100	400	20747	5412	U	S	2	5375.0	0.9931633407243163	0.1112132512	0.03568225995725954
41	100	400	20747	10825	E	G	-	10555.0	0.9750577367205543	4.10886e-05	1.3272566219252567e-05
42	100	400	20747	10825	E	S	0.5	10815.0	0.9990762124711317	0.32803683559999997	0.08013413958303407
43	100	400	20747	10825	E	S	1	10823.0	0.9998152424942264	0.20332991419999996	0.05817244316605016
44	100	400	20747	10825	E	S	2	10774.0	0.9952886836027713	0.1197996504	0.03879610256515359
45	100	400	20747	21650	U	G	-	20747.0	0.9582909930715935	3.4965399999999996e-05	1.6863111820380803e-05
46	100	400	20747	21650	U	S	0.5	20673.0	0.9548729792147806	0.34202559220000006	0.08764587274556238
47	100	400	20747	21650	U	S	1	20713.0	0.9567205542725173	0.20508222899999998	0.059471846422048225
48	100	400	20747	21650	U	S	2	20471.0	0.9455427251732101	0.12241887789999999	0.04021674926642682
49	1000	3997	2028912	516531	U	G	-	514818.0	0.9966836453184804	0.0002491615	9.274167952406535e-05
50	1000	3997	2028912	516531	U	S	0.5	516485.0	0.9999109443576475	59.62847940819999	11.239069495979491
51	1000	3997	2028912	516531	U	S	1	516296.0	0.999545041827112	34.2592122706	7.300063522857152
52	1000	3997	2028912	516531	U	S	2	516200.0	0.9993591865735068	18.9110667283	3.9864409824731672
53	1000	3997	2028912	1033062	E	G	-	1030613.0	0.9976293775204199	0.00020795200000000002	6.954828149965717e-05
54	1000	3997	2028912	1033062	E	S	0.5	1033026.0	0.999965152139949	63.8668026518	13.167166073063232
55	1000	3997	2028912	1033062	E	S	1	1032581.0	0.9995343938698742	36.4786385627	7.908035260263484
56	1000	3997	2028912	1033062	E	S	2	1032421.0	0.9993795144918698	20.102660345	4.367218194697755
57	1000	3997	2028912	2066124	U	G	-	2028912.0	0.9819894643303112	0.00023988699999999996	8.708922121722196e-05
58	1000	3997	2028912	2066124	U	S	0.5	2028554.0	0.9818161930261688	66.72907506989999	14.64711077358016
59	1000	3997	2028912	2066124	U	S	1	2027505.0	0.9813084790651481	37.215520708	7.989575627784374
60	1000	3997	2028912	2066124	U	S	2	2027395.0	0.9812552392789591	20.682287409500002	4.463278694101433
61	1000	4000	2007991	500353	U	G	-	499748.0	0.9987908536573179	0.0001837813	5.630432851339623e-05
62	1000	4000	2007991	500353	U	S	0.5	500306.0	0.99990606631718	60.241596064700005	12.82513744494179
63	1000	4000	2007991	500353	U	S	1	500171.0	0.9996362568026973	34.472952707699996	7.383469636109295
64	1000	4000	2007991	500353	U	S	2	500111.0	0.9995163414629272	19.2815039766	4.383232333462822
